   1     0,000000     0,332849
   2     0,000000     0,399549
   3     0,000000     0,457200
   4     0,000000     0,466819
   5     1,000000     0,263342
   6     0,000000     0,503887
   7     1,000000     0,332849
   8     0,000000     0,375626
   9     0,000000     0,541954
  10     0,000000     0,596472
  11     1,000000     0,412824
  12     1,000000     0,528263
  13     1,000000     0,466819
  14     1,000000     0,429867
  15     0,000000     0,300525
  16     1,000000     0,466819
  17     0,000000     0,255903
  18     0,000000     0,503887
  19     1,000000     0,466819
  20     0,000000     0,191791
  21     0,000000     0,332849
  22     1,000000     0,342216
  23     0,000000     0,559251
  24     0,000000     0,255903
  25     1,000000     0,342216
  26     1,000000     0,375626
  27     0,000000     0,294006
  28     0,000000     0,202862
  29     0,000000     0,342216
  30     0,000000     0,528263
  31     0,000000     0,308723
  32     1,000000     0,342216
  33     1,000000     0,528263
  34     0,000000     0,429867
  35     0,000000     0,342216
  36     0,000000     0,342216
  37     0,000000     0,412824
  38     1,000000     0,342216
  39     0,000000     0,399549
  40     0,000000     0,466819
  41     0,000000     0,294006
  42     0,000000     0,528263
  43     1,000000     0,294006
  44     0,000000     0,399549
  45     1,000000     0,389542
  46     1,000000     0,402708
  47     0,000000     0,342216
  48     1,000000     0,528263
  49     1,000000     0,347529
  50     1,000000     0,332849
  51     0,000000     0,389542
  52     1,000000     0,342216
  53     0,000000     0,399549
  54     1,000000     0,332849
  55     1,000000     0,457200
  56     0,000000     0,528263
  57     1,000000     0,654047
  58     1,000000     0,294006
  59     0,000000     0,299855
  60     0,000000     0,308723
  61     1,000000     0,263342
  62     0,000000     0,596472
  63     0,000000     0,255296
  64     1,000000     0,375626
  65     0,000000     0,333558
  66     0,000000     0,366594
  67     0,000000     0,235544
  68     1,000000     0,389542
  69     0,000000     0,308723
  70     0,000000     0,202862
  71     1,000000     0,467613
  72     0,000000     0,285386
  73     1,000000     0,466819
  74     1,000000     0,342216
  75     1,000000     0,399549
  76     0,000000     0,263342
  77     1,000000     0,263342
  78     0,000000     0,185669
  79     0,000000     0,255296
  80     0,000000     0,235544
  81     0,000000     0,294006
  82     1,000000     0,342216
  83     0,000000     0,299855
  84     0,000000     0,274930
  85     1,000000     0,399549
  86     1,000000     0,412824
  87     1,000000     0,389542
  88     0,000000     0,274930
  89     0,000000     0,338092
  90     0,000000     0,277941
  91     1,000000     0,559251
  92     0,000000     0,191791
  93     1,000000     0,467613
  94     0,000000     0,263342
  95     1,000000     0,342216
  96     0,000000     0,528263
  97     0,000000     0,399549
  98     0,000000     0,654047
  99     0,000000     0,429867
 100     0,000000     0,412051
 101     1,000000     0,412051
 102     1,000000     0,654047
 103     0,000000     0,375626
 104     1,000000     0,467613
 105     0,000000     0,228669
 106     0,000000     0,466819
 107     0,000000     0,294006
 108     1,000000     0,528263
 109     0,000000     0,309591
 110     0,000000     0,277941
 111     1,000000     0,596472
 112     0,000000     0,466819
 113     0,000000     0,596472
 114     1,000000     0,333558
