0,000000     0,339527
0,000000     0,403829
0,000000     0,459037
0,000000     0,464981
1,000000     0,262610
0,000000     0,500551
1,000000     0,339527
0,000000     0,381041
0,000000     0,534611
0,000000     0,584491
1,000000     0,416180
1,000000     0,522261
1,000000     0,464981
1,000000     0,431999
0,000000     0,306545
1,000000     0,464981
0,000000     0,256666
0,000000     0,500551
1,000000     0,464981
0,000000     0,171216
0,000000     0,339527
1,000000     0,346549
0,000000     0,550431
0,000000     0,256666
1,000000     0,346549
1,000000     0,381041
0,000000     0,296670
0,000000     0,187035
0,000000     0,346549
0,000000     0,522261
0,000000     0,312489
1,000000     0,346549
1,000000     0,522261
0,000000     0,431999
0,000000     0,346549
0,000000     0,346549
0,000000     0,416180
1,000000     0,346549
0,000000     0,403829
0,000000     0,464981
0,000000     0,296670
0,000000     0,522261
1,000000     0,296670
0,000000     0,403829
1,000000     0,396807
1,000000     0,409158
0,000000     0,346549
1,000000     0,522261
1,000000     0,353949
1,000000     0,339527
0,000000     0,396807
1,000000     0,346549
0,000000     0,403829
1,000000     0,339527
1,000000     0,459037
0,000000     0,522261
1,000000     0,641771
1,000000     0,296670
0,000000     0,305467
0,000000     0,312489
1,000000     0,262610
0,000000     0,584491
0,000000     0,255587
1,000000     0,381041
0,000000     0,340605
0,000000     0,375098
0,000000     0,239674
1,000000     0,396807
0,000000     0,312489
0,000000     0,187035
1,000000     0,466059
0,000000     0,289647
1,000000     0,464981
1,000000     0,346549
1,000000     0,403829
0,000000     0,262610
1,000000     0,262610
0,000000     0,170044
0,000000     0,255587
0,000000     0,239674
0,000000     0,296670
1,000000     0,346549
0,000000     0,305467
0,000000     0,278375
1,000000     0,403829
1,000000     0,416180
1,000000     0,396807
0,000000     0,278375
0,000000     0,346927
0,000000     0,289554
1,000000     0,550431
0,000000     0,171216
1,000000     0,466059
0,000000     0,262610
1,000000     0,346549
0,000000     0,522261
0,000000     0,403829
0,000000     0,641771
0,000000     0,431999
0,000000     0,415101
1,000000     0,415101
1,000000     0,641771
0,000000     0,381041
1,000000     0,466059
0,000000     0,221095
0,000000     0,464981
0,000000     0,296670
1,000000     0,522261
0,000000     0,323614
0,000000     0,289554
1,000000     0,584491
0,000000     0,464981
0,000000     0,584491
1,000000     0,340605
0,000000     0,346549
1,000000     0,550431
0,000000     0,339527
0,000000     0,221095
1,000000     0,382120
1,000000     0,346549
0,000000     0,312489
0,000000     0,522261
0,000000     0,305467
0,000000     0,522261
1,000000     0,187035
0,000000     0,339527
0,000000     0,430921
1,000000     0,289554
0,000000     0,409158
0,000000     0,464981
0,000000     0,346549
0,000000     0,522261
0,000000     0,500551
0,000000     0,339527
0,000000     0,430921
1,000000     0,346549
0,000000     0,296670
0,000000     0,187035
0,000000     0,459037
0,000000     0,523339
0,000000     0,296670
0,000000     0,430921
0,000000     0,339527
0,000000     0,464981
0,000000     0,431999
1,000000     0,238596
1,000000     0,403829
1,000000     0,464981
0,000000     0,403829
0,000000     0,500551
1,000000     0,464981
1,000000     0,187035
1,000000     0,522261
0,000000     0,312489
0,000000     0,403829
1,000000     0,464981
1,000000     0,415101
0,000000     0,466059
0,000000     0,415101
0,000000     0,137156
0,000000     0,289647
