   1     0,000000     0,333801
   2     0,000000     0,399724
   3     0,000000     0,457392
   4     0,000000     0,466399
   5     1,000000     0,263197
   6     0,000000     0,504684
   7     1,000000     0,333801
   8     0,000000     0,378017
   9     0,000000     0,540173
  10     0,000000     0,594102
  11     1,000000     0,412174
  12     1,000000     0,527412
  13     1,000000     0,466399
  14     1,000000     0,430994
  15     0,000000     0,301895
  16     1,000000     0,466399
  17     0,000000     0,255848
  18     0,000000     0,504684
  19     1,000000     0,466399
  20     0,000000     0,186865
  21     0,000000     0,333801
  22     1,000000     0,341948
  23     0,000000     0,559216
  24     0,000000     0,255848
  25     1,000000     0,341948
  26     1,000000     0,378017
  27     0,000000     0,293086
  28     0,000000     0,200064
  29     0,000000     0,341948
  30     0,000000     0,527412
  31     0,000000     0,309849
  32     1,000000     0,341948
  33     1,000000     0,527412
  34     0,000000     0,430994
  35     0,000000     0,341948
  36     0,000000     0,341948
  37     0,000000     0,412174
  38     1,000000     0,341948
  39     0,000000     0,399724
  40     0,000000     0,466399
  41     0,000000     0,293086
  42     0,000000     0,527412
  43     1,000000     0,293086
  44     0,000000     0,399724
  45     1,000000     0,391140
  46     1,000000     0,403520
  47     0,000000     0,341948
  48     1,000000     0,527412
  49     1,000000     0,347787
  50     1,000000     0,333801
  51     0,000000     0,391140
  52     1,000000     0,341948
  53     0,000000     0,399724
  54     1,000000     0,333801
  55     1,000000     0,457392
  56     0,000000     0,527412
  57     1,000000     0,652176
  58     1,000000     0,293086
  59     0,000000     0,302031
  60     0,000000     0,309849
  61     1,000000     0,263197
  62     0,000000     0,594102
  63     0,000000     0,255974
  64     1,000000     0,378017
  65     0,000000     0,333659
  66     0,000000     0,369426
  67     0,000000     0,236875
  68     1,000000     0,391140
  69     0,000000     0,309849
  70     0,000000     0,200064
  71     1,000000     0,466243
  72     0,000000     0,285465
  73     1,000000     0,466399
  74     1,000000     0,341948
  75     1,000000     0,399724
  76     0,000000     0,263197
  77     1,000000     0,263197
  78     0,000000     0,183639
  79     0,000000     0,255974
  80     0,000000     0,236875
  81     0,000000     0,293086
  82     1,000000     0,341948
  83     0,000000     0,302031
  84     0,000000     0,274528
  85     1,000000     0,399724
  86     1,000000     0,412174
